Word:                 vara förtvivlad  			 HumanPositive: 0,500000 			 RobotPositive: 0,000000 			 Skillnad: 0,500000
Word:                          låtsas  			 HumanPositive: 0,500000 			 RobotPositive: 0,000000 			 Skillnad: 0,500000
Word:                         åtfölja  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                       attackera  			 HumanPositive: 0,500000 			 RobotPositive: 0,016393 			 Skillnad: 0,483607
Word:                         erodera  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:               visa uppskattning  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                       hosta upp  			 HumanPositive: 0,000000 			 RobotPositive: 1,000000 			 Skillnad: -1,000000
Word:                      känna till  			 HumanPositive: 1,000000 			 RobotPositive: 0,888889 			 Skillnad: 0,111111
Word:                         behålla  			 HumanPositive: 1,000000 			 RobotPositive: 0,555556 			 Skillnad: 0,444444
Word:                      efterträda  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                        prestera  			 HumanPositive: 1,000000 			 RobotPositive: 0,894737 			 Skillnad: 0,105263
Word:                        leverera  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                           gnida  			 HumanPositive: 0,500000 			 RobotPositive: 0,222222 			 Skillnad: 0,277778
Word:                      övervältra  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                            voja  			 HumanPositive: 0,500000 			 RobotPositive: 0,000000 			 Skillnad: 0,500000
Word:                       inkassera  			 HumanPositive: 1,000000 			 RobotPositive: 0,750000 			 Skillnad: 0,250000
Word:                         klå upp  			 HumanPositive: 0,500000 			 RobotPositive: 0,166667 			 Skillnad: 0,333333
Word:       tvinga till underkastelse  			 HumanPositive: 0,500000 			 RobotPositive: 0,100000 			 Skillnad: 0,400000
Word:                         oja sig  			 HumanPositive: 0,250000 			 RobotPositive: 0,000000 			 Skillnad: 0,250000
Word:                           grupp  			 HumanPositive: 0,500000 			 RobotPositive: 1,000000 			 Skillnad: -0,500000
Word:                 fälla omdöme om  			 HumanPositive: 0,333333 			 RobotPositive: 0,615385 			 Skillnad: -0,282051
Word:                          spetsa  			 HumanPositive: 0,500000 			 RobotPositive: 0,000000 			 Skillnad: 0,500000
Word:                           dilla  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                           famna  			 HumanPositive: 1,000000 			 RobotPositive: 0,928571 			 Skillnad: 0,071429
Word:                        påskynda  			 HumanPositive: 1,000000 			 RobotPositive: 0,785714 			 Skillnad: 0,214286
Word:                          marter  			 HumanPositive: 0,000000 			 RobotPositive: 0,055556 			 Skillnad: -0,055556
Word:                   förställa sig  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                      spela from  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                         avhålla  			 HumanPositive: 0,000000 			 RobotPositive: 0,074074 			 Skillnad: -0,074074
Word:                          hindra  			 HumanPositive: 0,000000 			 RobotPositive: 0,062500 			 Skillnad: -0,062500
Word:                         fröjdas  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                     hänga med i  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                     missbelåten  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                       ha betalt  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                     göra nervös  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                      få godkänt  			 HumanPositive: 1,000000 			 RobotPositive: 0,916667 			 Skillnad: 0,083333
Word:                bedöma värdet av  			 HumanPositive: 0,750000 			 RobotPositive: 0,960000 			 Skillnad: -0,210000
Word:                           hejda  			 HumanPositive: 1,000000 			 RobotPositive: 0,074074 			 Skillnad: 0,925926
Word:                           stöna  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                       poängtera  			 HumanPositive: 1,000000 			 RobotPositive: 0,200000 			 Skillnad: 0,800000
Word:                         förhala  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                             yla  			 HumanPositive: 0,000000 			 RobotPositive: 0,062500 			 Skillnad: -0,062500
Word:                       uppstoppa  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                         åtnjuta  			 HumanPositive: 0,500000 			 RobotPositive: 0,846154 			 Skillnad: -0,346154
Word:                      skaffa sig  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                            tåga  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                          sporra  			 HumanPositive: 1,000000 			 RobotPositive: 0,578947 			 Skillnad: 0,421053
Word:                      grundlägga  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                         uppjaga  			 HumanPositive: 0,500000 			 RobotPositive: 0,000000 			 Skillnad: 0,500000
Word:                   göra förargad  			 HumanPositive: 0,500000 			 RobotPositive: 0,000000 			 Skillnad: 0,500000
Word:                           tävla  			 HumanPositive: 1,000000 			 RobotPositive: 0,000000 			 Skillnad: 1,000000
Word:                  tillryggalägga  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                         omfatta  			 HumanPositive: 1,000000 			 RobotPositive: 0,965517 			 Skillnad: 0,034483
Word:          uttrycka sitt missnöje  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                         försaka  			 HumanPositive: 0,500000 			 RobotPositive: 0,000000 			 Skillnad: 0,500000
Word:           komma i besittning av  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                       göra klar  			 HumanPositive: 1,000000 			 RobotPositive: 0,916667 			 Skillnad: 0,083333
Word:                           knipa  			 HumanPositive: 0,000000 			 RobotPositive: 0,904762 			 Skillnad: -0,904762
Word:                  göra i ordning  			 HumanPositive: 1,000000 			 RobotPositive: 0,818182 			 Skillnad: 0,181818
Word:                       vara värd  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:             gå till angrepp mot  			 HumanPositive: 0,333333 			 RobotPositive: 0,000000 			 Skillnad: 0,333333
Word:                            äska  			 HumanPositive: 0,333333 			 RobotPositive: 1,000000 			 Skillnad: -0,666667
Word:                      misshandla  			 HumanPositive: 0,000000 			 RobotPositive: 0,153846 			 Skillnad: -0,153846
Word:                           sätta  			 HumanPositive: 1,000000 			 RobotPositive: 0,210526 			 Skillnad: 0,789474
Word:                 försöka undvika  			 HumanPositive: 0,500000 			 RobotPositive: 1,000000 			 Skillnad: -0,500000
Word:                       klarlägga  			 HumanPositive: 0,500000 			 RobotPositive: 1,000000 			 Skillnad: -0,500000
Word:                        amortera  			 HumanPositive: 0,500000 			 RobotPositive: 1,000000 			 Skillnad: -0,500000
Word:                           luras  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                      fröjda sig  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                          framgå  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                     formera sig  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                     komma efter  			 HumanPositive: 0,500000 			 RobotPositive: 1,000000 			 Skillnad: -0,500000
Word:                   vara skicklig  			 HumanPositive: 1,000000 			 RobotPositive: 0,000000 			 Skillnad: 1,000000
Word:                            reta  			 HumanPositive: 0,500000 			 RobotPositive: 0,128205 			 Skillnad: 0,371795
Word:                       övervinna  			 HumanPositive: 1,000000 			 RobotPositive: 0,766667 			 Skillnad: 0,233333
Word:                          bevara  			 HumanPositive: 1,000000 			 RobotPositive: 0,925926 			 Skillnad: 0,074074
Word:                     tillmötesgå  			 HumanPositive: 1,000000 			 RobotPositive: 0,888889 			 Skillnad: 0,111111
Word:            utöva påtryckning på  			 HumanPositive: 0,500000 			 RobotPositive: 0,416667 			 Skillnad: 0,083333
Word:                        simulera  			 HumanPositive: 0,500000 			 RobotPositive: 0,000000 			 Skillnad: 0,500000
Word:                     lyckliggöra  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                         ta fast  			 HumanPositive: 1,000000 			 RobotPositive: 0,916667 			 Skillnad: 0,083333
Word:                    implementera  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                   illa tilltyga  			 HumanPositive: 0,000000 			 RobotPositive: 0,500000 			 Skillnad: -0,500000
Word:                       celebrera  			 HumanPositive: 1,000000 			 RobotPositive: 0,000000 			 Skillnad: 1,000000
Word:                          rå med  			 HumanPositive: 1,000000 			 RobotPositive: 0,714286 			 Skillnad: 0,285714
Word:                           tygla  			 HumanPositive: 0,500000 			 RobotPositive: 0,163934 			 Skillnad: 0,336066
Word:                           fejka  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                        betvinga  			 HumanPositive: 0,000000 			 RobotPositive: 0,500000 			 Skillnad: -0,500000
Word:             behandla överlägset  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                           ljuga  			 HumanPositive: 0,000000 			 RobotPositive: 0,055556 			 Skillnad: -0,055556
Word:                      överträffa  			 HumanPositive: 1,000000 			 RobotPositive: 0,200000 			 Skillnad: 0,800000
Word:                   hålla reda på  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                         uträkna  			 HumanPositive: 0,333333 			 RobotPositive: 1,000000 			 Skillnad: -0,666667
Word:                           tjäna  			 HumanPositive: 1,000000 			 RobotPositive: 0,969697 			 Skillnad: 0,030303
Word:                           tjuta  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
Word:                         glädjas  			 HumanPositive: 1,000000 			 RobotPositive: 1,000000 			 Skillnad: 0,000000
Word:                      trycka ned  			 HumanPositive: 0,000000 			 RobotPositive: 0,000000 			 Skillnad: 0,000000
